AÑO,,,2019,,,2020,,,2021,,,* 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDO. ORIGEN,,,DESC.,HOMBRE,MUJER,DESC.,HOMBRE,MUJER,DESC.,HOMBRE,MUJER,DESC.,HOMBRE,MUJER,,,,,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,,,1,815,184,0,785,89,,429,65,,228,28,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA,,,1,894,316,0,943,215,1,610,155,1,298,80,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA SUR,,,0,41,23,0,31,8,,22,9,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE,,,1,255,46,1,266,21,,162,17,,66,20,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIAPAS,,,67,"4,437","1,159",21,"4,413",673,2,"3,649",551,3,"2,498",445,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,,,9,"2,353",875,0,"1,549",343,2,"1,459",279,,835,131,,,,,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,,,16,"2,519","1,072",6,"1,762",567,,909,438,1,504,238,,,,,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,,,3,"1,137",574,0,566,157,,500,109,,328,56,,,,,,,,,,,,,,,,,,,,,,,,,,
COLIMA,,,5,303,115,2,261,50,,136,43,,63,24,,,,,,,,,,,,,,,,,,,,,,,,,,
DURANGO,,,8,"1,292",404,1,826,185,,569,127,,299,84,,,,,,,,,,,,,,,,,,,,,,,,,,
EDO. MEXICO,,,7,"3,968",917,8,"3,304",632,1,"2,525",646,3,"1,022",279,,,,,,,,,,,,,,,,,,,,,,,,,,
GUANAJUATO,,,14,"5,425","1,194",7,"4,030",567,1,"2,031",413,2,"1,141",195,,,,,,,,,,,,,,,,,,,,,,,,,,
GUERRERO,,,29,"7,305","2,833",19,"5,866","1,316",2,"3,607","1,094",2,"1,849",606,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDALGO,,,53,"2,094",387,3,"1,469",207,1,754,174,1,528,138,,,,,,,,,,,,,,,,,,,,,,,,,,
JALISCO,,,16,"3,449","1,198",3,"2,618",595,3,"1,471",452,1,698,195,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHOACAN,,,27,"6,072","2,075",14,"5,107",890,6,"2,798",682,1,"1,586",319,,,,,,,,,,,,,,,,,,,,,,,,,,
MORELOS,,,16,"1,214",450,3,809,219,,553,181,,269,86,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIDO EXTRANJERO,,,4,151,212,0,83,63,,41,48,,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,
NAYARIT,,,3,809,216,1,731,104,,339,77,,193,39,,,,,,,,,,,,,,,,,,,,,,,,,,
NUEVO LEON,,,8,870,348,0,716,184,,487,232,,262,72,,,,,,,,,,,,,,,,,,,,,,,,,,
OAXACA,,,30,"5,251","1,441",5,"3,877",904,3,"2,590",646,2,"1,448",505,,,,,,,,,,,,,,,,,,,,,,,,,,
PUEBLA,,,21,"4,359","1,297",10,"3,583",586,,"2,200",478,2,"1,321",295,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERETARO,,,0,"1,115",104,1,990,54,,401,41,,213,28,,,,,,,,,,,,,,,,,,,,,,,,,,
QUINTANA ROO,,,1,134,26,0,106,16,,60,11,,42,19,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS POTOSI,,,6,"2,653",512,5,"1,747",245,1,829,178,,450,111,,,,,,,,,,,,,,,,,,,,,,,,,,
SINALOA,,,14,"1,720",345,6,"1,461",181,,892,142,,543,103,,,,,,,,,,,,,,,,,,,,,,,,,,
SONORA,,,14,"1,638",639,1,"1,158",257,,846,223,,501,95,,,,,,,,,,,,,,,,,,,,,,,,,,
TABASCO,,,4,455,114,3,495,62,,360,72,,391,47,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAULIPAS,,,12,"3,304",790,23,"4,296",603,,"3,930",481,2,"1,681",304,,,,,,,,,,,,,,,,,,,,,,,,,,
TLAXCALA,,,1,342,140,0,301,50,,135,63,,133,45,,,,,,,,,,,,,,,,,,,,,,,,,,
VERACRUZ,,,12,"4,739",870,16,"4,385",592,,"2,566",536,,"1,732",408,,,,,,,,,,,,,,,,,,,,,,,,,,
YUCATAN,,,1,218,45,0,144,22,,81,25,,51,17,,,,,,,,,,,,,,,,,,,,,,,,,,
ZACATECAS,,,3,"2,023",505,3,"1,330",243,1,744,172,,357,77,,,,,,,,,,,,,,,,,,,,,,,,,,
DESC.,,,46,"26,983","2,289",82,"23,041","1,982",15,"10,423",821,6,"6,283",421,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,453,"100,337","23,715",244,"83,049","12,882",39,"49,108","9,681",27,"27,859","5,560",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
