AÑO,,2019,,,2020,,,2021,,,* 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁMBITO,REPRESENTACIÓN,DESC.,HOMBRE,MUJER,DESC.,HOMBRE,MUJER,DESC.,HOMBRE,MUJER,DESC.,HOMBRE,MUJER,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGRATORIO,ALBUQUERQUE,1,260,173,2,162,59,1,47,13,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATLANTA,0,660,285,2,287,164,,146,78,,75,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUSTIN,1,690,429,1,171,144,,91,75,,129,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOISE,0,82,63,3,62,47,,16,25,,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOSTON,0,61,16,0,16,12,,15,4,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BROWNSVILLE,1,"4,899",484,2,"4,624",323,1,"1,279",152,2,"1,936",202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALEXICO,15,"6,242","1,302",1,"6,059",491,2,"2,026",262,,409,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHICAGO,1,"3,078",781,2,"1,586",472,2,"1,111",601,4,430,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DALLAS,4,"3,085","1,347",10,"5,651",521,1,"2,934",277,,"1,095",41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEL RIO,3,"1,833",130,0,504,40,,281,48,,224,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DENVER,2,560,497,5,513,239,2,324,155,,85,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DETROIT,0,498,83,0,114,23,,46,33,,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOUGLAS,1,"1,871",373,0,"1,070",219,,587,166,,221,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EAGLE PASS,2,774,307,0,332,31,1,"1,832",99,1,"1,246",68,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL PASO,0,"15,472","1,529",1,"9,814",901,2,"4,937",630,5,"3,025",466,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FILADELFIA,3,"1,496",636,0,472,147,,215,93,5,316,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRESNO,2,380,401,0,155,169,,105,99,1,46,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSTON,55,"1,484",672,21,"2,915",999,,"3,100",701,,"1,592",403,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INDIANAPOLIS,0,256,87,0,106,27,,72,23,,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
